"GEO_ID","NAME","B01003_001M","B01003_001E",
"Geography","Geographic Area Name","Margin of Error!!Total","Estimate!!Total",
"1600000US0143720","Livingston city, Alabama","11","3436",
"1600000US0143744","Loachapoka town, Alabama","84","235",
"1600000US0143816","Lockhart town, Alabama","217","533",
"1600000US0143888","Locust Fork town, Alabama","236","1009",
"1600000US0144160","Lookout Mountain CDP, Alabama","326","1604",
"1600000US0144344","Louisville town, Alabama","223","555",
"1600000US0144536","Lowndesboro town, Alabama","66","156",
"1600000US0144608","Loxley town, Alabama","362","2187",
"1600000US0144728","Luverne city, Alabama","27","2807",
"1600000US0144800","Lynn town, Alabama","232","773",
"1600000US0145208","McDonald Chapel CDP, Alabama","449","1244",
"1600000US0145316","Macedonia CDP, Alabama","98","222",
"1600000US0145472","McIntosh town, Alabama","151","321",
"1600000US0145496","McKenzie town, Alabama","189","696",
"1600000US0145640","McMullen town, Alabama","29","65",
"1600000US0145784","Madison city, Alabama","36","40293",
"1600000US0145904","Madrid town, Alabama","297","592",
"1600000US0146072","Magnolia Springs town, Alabama","261","684",
"1600000US0146192","Malcolm CDP, Alabama","24","14",
"1600000US0146264","Malvern town, Alabama","267","1353",
"1600000US0146504","Maplesville town, Alabama","204","794",
"1600000US0146600","Marbury CDP, Alabama","458","1364",
"1600000US0146696","Margaret town, Alabama","19","3871",
"1600000US0146768","Marion city, Alabama","13","3592",
"1600000US0147728","Maytown town, Alabama","77","331",
"1600000US0147740","Meadowbrook CDP, Alabama","507","8772",
"1600000US0147848","Megargel CDP, Alabama","49","31",
"1600000US0148052","Memphis town, Alabama","7","4",
"1600000US0148064","Mentone town, Alabama","179","478",
"1600000US0148112","Meridianville CDP, Alabama","525","5893",
"1600000US0148376","Midfield city, Alabama","34","5384",
"1600000US0148400","Midland City town, Alabama","367","2759",
"1600000US0148424","Midway town, Alabama","213","726",
"1600000US0148616","Mignon CDP, Alabama","367","1594",
"1600000US0148712","Millbrook city, Alabama","51","14034",
"1600000US0148784","Millerville CDP, Alabama","162","352",
"1600000US0148808","Millport town, Alabama","178","858",
"1600000US0148832","Millry town, Alabama","267","695",
"1600000US0149072","Minor CDP, Alabama","272","1038",
"1600000US0150000","Mobile city, Alabama","48","195619",
"1600000US0150192","Monroeville city, Alabama","31","6589",
"1600000US0150312","Montevallo city, Alabama","21","6101",
"1600000US0151000","Montgomery city, Alabama","47","204788",
"1600000US0151096","Moody city, Alabama","64","11138",
"1600000US0151216","Moores Mill CDP, Alabama","615","5207",
"1600000US0151264","Mooresville town, Alabama","22","57",
"1600000US0151456","Morris town, Alabama","190","1830",
"1600000US0151468","Morrison Crossroads CDP, Alabama","308","471",
"1600000US0151520","Mosses town, Alabama","228","1158",
"1600000US0151600","Moulton city, Alabama","22","3421",
"1600000US0151648","Moundville town, Alabama","517","2176",
"1600000US0151696","Mountain Brook city, Alabama","39","20381",
"1600000US0152320","Mount Olive CDP (Coosa County), Alabama","197","536",
"1600000US0152344","Mount Olive CDP (Jefferson County), Alabama","582","3849",
"1600000US0152608","Mount Vernon town, Alabama","365","1381",
"1600000US0152680","Movico CDP, Alabama","192","254",
"1600000US0152776","Mulga town, Alabama","204","682",
"1600000US0152848","Munford town, Alabama","370","1621",
"1600000US0153016","Muscle Shoals city, Alabama","26","12986",
"1600000US0153112","Myrtlewood town, Alabama","72","144",
"1600000US0153208","Nanafalia CDP, Alabama","97","59",
"1600000US0153232","Nances Creek CDP, Alabama","254","696",
"1600000US0153256","Napier Field town, Alabama","111","358",
"1600000US0153376","Natural Bridge town, Alabama","117","86",
"1600000US0153400","Nauvoo town, Alabama","152","263",
"1600000US0153448","Nectar town, Alabama","74","277",
"1600000US0153472","Needham town, Alabama","23","45",
"1600000US0153784","Newbern town, Alabama","127","316",
"1600000US0153856","New Brockton town, Alabama","255","1450",
"1600000US0154168","New Hope city, Alabama","20","2755",
"1600000US0154312","New Market CDP, Alabama","408","1850",
"1600000US0154432","New Site town, Alabama","217","897",
"1600000US0154480","Newton town, Alabama","256","1643",
"1600000US0154582","New Union CDP, Alabama","374","1173",
"1600000US0154600","Newville town, Alabama","246","753",
"1600000US0155044","North Courtland town, Alabama","116","457",
"1600000US0155152","North Johns town, Alabama","112","244",
"1600000US0155200","Northport city, Alabama","39","22540",
"1600000US0155440","Notasulga town, Alabama","219","985",
"1600000US0155752","Oak Grove town, Alabama","121","456",
"1600000US0155848","Oak Hill town, Alabama","11","5",
"1600000US0155992","Oakman town, Alabama","181","688",
"1600000US0156400","Odenville town, Alabama","38","3426",
"1600000US0156472","Ohatchee town, Alabama","238","1360",
"1600000US0157000","Oneonta city, Alabama","22","6453",
"1600000US0157024","Onycha town, Alabama","71","166",
"1600000US0157048","Opelika city, Alabama","35","25867",
"1600000US0157120","Opp city, Alabama","24","6701",
"1600000US0157144","Orange Beach city, Alabama","23","5185",
"1600000US0157240","Orrville town, Alabama","124","291",
"1600000US0157384","Our Town CDP, Alabama","592","1179",
"1600000US0157504","Owens Cross Roads town, Alabama","321","1422",
"1600000US0157576","Oxford city, Alabama","48","20967",
"1600000US0157648","Ozark city, Alabama","59","14909",
"1600000US0157696","Paint Rock town, Alabama","69","212",
"1600000US0157912","Panola CDP, Alabama","119","0",
"1600000US0158272","Parrish town, Alabama","187","874",
"1600000US0158848","Pelham city, Alabama","52","20346",
"1600000US0158896","Pell City city, Alabama","24","12234",
"1600000US0158968","Pennington town, Alabama","81","201",
"1600000US0159016","Penton CDP, Alabama","160","259",
"1600000US0159088","Perdido Beach town, Alabama","255","756",
"1600000US0159232","Peterman CDP, Alabama","161","212",
"1600000US0159328","Petrey town, Alabama","32","50",
"1600000US0159472","Phenix City city, Alabama","75","31704",
"1600000US0159496","Phil Campbell town, Alabama","185","875",
"1600000US0159592","Pickensville town, Alabama","153","667",
"1600000US0159640","Piedmont city, Alabama","22","4915",
"1600000US0159760","Pike Road town, Alabama","25","5072",
"1600000US0159832","Pinckard town, Alabama","190","540",
"1600000US0159880","Pine Apple town, Alabama","57","126",
"1600000US0160240","Pine Hill town, Alabama","215","900",
"1600000US0160264","Pine Level CDP, Alabama","460","3282",
"1600000US0160372","Pine Ridge town, Alabama","114","231",
"1600000US0160648","Pinson city, Alabama","63","7143",
"1600000US0160720","Pisgah town, Alabama","188","775",
"1600000US0161008","Pleasant Grove city, Alabama","44","10048",
"1600000US0161038","Pleasant Groves town, Alabama","84","390",
"1600000US0161488","Point Clear CDP, Alabama","469","1766",
"1600000US0161536","Pollard town, Alabama","71","139",
"1600000US0162075","Powell town, Alabama","1307","1795",
"1600000US0162328","Prattville city, Alabama","259","32122",
"1600000US0162472","Priceville town, Alabama","21","2458",
"1600000US0162496","Prichard city, Alabama","100","23599",
"1600000US0162688","Providence town, Alabama","71","218",
"1600000US0162952","Putnam CDP, Alabama","244","202",
"1600000US0163216","Ragland town, Alabama","336","2192",
"1600000US0163288","Rainbow City city, Alabama","20","9396",
"1600000US0163336","Rainsville city, Alabama","19","4895",
"1600000US0163408","Ranburne town, Alabama","105","548",
"1600000US0163495","Ray CDP, Alabama","219","270",
"1600000US0163576","Red Bay city, Alabama","32","3164",
"1600000US0163730","Redland CDP, Alabama","480","3638",
"1600000US0163768","Red Level town, Alabama","169","472",
"1600000US0163912","Redstone Arsenal CDP, Alabama","455","2372",
"1600000US0163984","Reece City town, Alabama","189","804",
"1600000US0164040","Reeltown CDP, Alabama","173","437",
"1600000US0164104","Reform town, Alabama","350","1997",
"1600000US0164152","Rehobeth town, Alabama","214","1506",
"1600000US0164368","Repton town, Alabama","178","464",
"1600000US0164656","Ridgeville town, Alabama","179","221",
"1600000US0164776","River Falls town, Alabama","143","513",
"1600000US0164920","Riverside town, Alabama","363","1828",
"1600000US0165016","Riverview town, Alabama","49","121",
"1600000US0165040","Roanoke city, Alabama","28","6154",
"1600000US0165208","Robertsdale city, Alabama","38","5052",
"1600000US0165412","Rock Creek CDP, Alabama","297","1621",
"1600000US0165472","Rockford town, Alabama","141","420",
"1600000US0165592","Rock Mills CDP, Alabama","277","745",
"1600000US0165784","Rockville CDP, Alabama","119","0",
"1600000US0166216","Rogersville town, Alabama","237","1234",
"1600000US0166408","Rosa town, Alabama","87","328",
"1600000US0167056","Russellville city, Alabama","36","9598",
"1600000US0167176","Rutledge town, Alabama","204","670",
"1600000US0167536","St. Florian town, Alabama","175","374",
"1600000US0167584","St. Stephens CDP, Alabama","210","581",
"1600000US0167608","Saks CDP, Alabama","536","11169",
"1600000US0167800","Samson city, Alabama","439","2051",
"1600000US0167920","Sand Rock town, Alabama","136","449",
"1600000US0168016","Sanford town, Alabama","242","516",
"1600000US0168160","Saraland city, Alabama","44","13172",
"1600000US0168280","Sardis City town, Alabama","254","1625",
"1600000US0168352","Satsuma city, Alabama","17","6057",
"1600000US0168736","Scottsboro city, Alabama","30","14795",
"1600000US0169000","Section town, Alabama","244","905",
